Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question Type,Level
What is the meaning of the idiom : Spill the beans ? ,When the person you have just been talking about arrives.,Something is certain to happen but it isn't known when exactly.,Reveal a secret.,Person who has put money into a business or venture but who is not involved in running it.,Reveal a secret.,static,EASY
What is the meaning of the idiom : Standing the test of time ? ,Reveal a secret.,When the person you have just been talking about arrives.,Something is certain to happen but it isn't known when exactly.,Something that lasts or continues to work well for a long time.,Something that lasts or continues to work well for a long time.,static,EASY
What is the meaning of the idiom : Steal someone's thunder ? ,Something that lasts or continues to work well for a long time.,Take the credit for something someone else did.,When the person you have just been talking about arrives.,Something is certain to happen but it isn't known when exactly.,Take the credit for something someone else did.,static,EASY
What is the meaning of the idiom : Straight from the horse's mouth ? ,From the authoritative source.,Something that lasts or continues to work well for a long time.,Reveal a secret.,When the person you have just been talking about arrives.,From the authoritative source.,static,EASY
What is the meaning of the idiom : Sweet tooth ? ,From the authoritative source.,Liking for sweet-tasting foods.,Something that lasts or continues to work well for a long time.,Reveal a secret.,Liking for sweet-tasting foods.,static,EASY
What is the meaning of the idiom : Take with a grain (or pinch) of salt ? ,Not to take what someone says too seriously. Be sceptical about something.,From the authoritative source.,Take the credit for something someone else did.,Something that lasts or continues to work well for a long time.,Not to take what someone says too seriously. Be sceptical about something.,static,EASY
What is the meaning of the idiom : Taste of your own medicine ? ,Not to take what someone says too seriously. Be sceptical about something.,"Something happens to you, or is done to you, that you have done to someone else.",From the authoritative source.,Take the credit for something someone else did.,"Something happens to you, or is done to you, that you have done to someone else.",static,EASY
What is the meaning of the idiom : Teacher's pet ? ,Teacher's favourite student.,Not to take what someone says too seriously. Be sceptical about something.,Liking for sweet-tasting foods.,From the authoritative source.,Teacher's favourite student.,static,EASY
What is the meaning of the idiom : The big time ? ,Teacher's favourite student.,"Something happens to you, or is done to you, that you have done to someone else.",The top level of a profession,Liking for sweet-tasting foods.,The top level of a profession,static,EASY
What is the meaning of the idiom : The moment of truth ? ,When an important decision is made or the truth about something is revealed.,Teacher's favourite student.,"Something happens to you, or is done to you, that you have done to someone else.",Not to take what someone says too seriously. Be sceptical about something.,When an important decision is made or the truth about something is revealed.,static,EASY
What is the meaning of the idiom : The ship has sailed ? ,A particular opportunity has passed and is no longer available.,The top level of a profession,Teacher's favourite student.,"Something happens to you, or is done to you, that you have done to someone else.",A particular opportunity has passed and is no longer available.,static,EASY
What is the meaning of the idiom : Tie the knot ? ,A particular opportunity has passed and is no longer available.,Get married.,The top level of a profession,Teacher's favourite student.,Get married.,static,EASY
What is the meaning of the idiom : Time flies ? ,When time passes quickly.,A particular opportunity has passed and is no longer available.,When an important decision is made or the truth about something is revealed.,The top level of a profession,When time passes quickly.,static,EASY
What is the meaning of the idiom : Time for a change ? ,When time passes quickly.,Stop what you are doing and start doing something else.,A particular opportunity has passed and is no longer available.,When an important decision is made or the truth about something is revealed.,Stop what you are doing and start doing something else.,static,EASY
What is the meaning of the idiom : Time heals all wounds (or time is a great healer) ? ,Stop what you are doing and start doing something else.,When time passes quickly.,Feelings of hurt (usually emotional) will go away after some time has passed.,A particular opportunity has passed and is no longer available.,Feelings of hurt (usually emotional) will go away after some time has passed.,static,EASY
What is the meaning of the idiom : Time is money ? ,Time is a valuable commodity. Payment is needed before doing something.,Stop what you are doing and start doing something else.,When time passes quickly.,Get married.,Time is a valuable commodity. Payment is needed before doing something.,static,EASY
What is the meaning of the idiom : Too much (free) time on one's hand ? ,Time is a valuable commodity. Payment is needed before doing something.,Feelings of hurt (usually emotional) will go away after some time has passed.,Stop what you are doing and start doing something else.,When someone doesn't have enough to do.,When someone doesn't have enough to do.,static,EASY
What is the meaning of the idiom : True colours ? ,When someone doesn't have enough to do.,Time is a valuable commodity. Payment is needed before doing something.,Feelings of hurt (usually emotional) will go away after some time has passed.,Someone's actual character.,Someone's actual character.,static,EASY
What is the meaning of the idiom : University of life ? ,Someone's actual character.,When someone doesn't have enough to do.,Daily life and work where you learn more than you would through formal education.,Feelings of hurt (usually emotional) will go away after some time has passed.,Daily life and work where you learn more than you would through formal education.,static,EASY
What is the meaning of the idiom : Wasting time ? ,Daily life and work where you learn more than you would through formal education.,Doing something with no purpose.,When someone doesn't have enough to do.,Time is a valuable commodity. Payment is needed before doing something.,Doing something with no purpose.,static,EASY
What is the meaning of the idiom : White lie ? ,Little or harmless lie told to be polite and avoid hurting someone's feelings.,Daily life and work where you learn more than you would through formal education.,Someone's actual character.,When someone doesn't have enough to do.,Little or harmless lie told to be polite and avoid hurting someone's feelings.,static,EASY
What is the meaning of the idiom : Works like a charm ? ,Little or harmless lie told to be polite and avoid hurting someone's feelings.,Doing something with no purpose.,Works very well or as expected.,Someone's actual character.,Works very well or as expected.,static,EASY
