Question,Option 1,Option 2,Option 3,Option 4,Correct answer,Question Type,Level
What is the meaning of the idiom : This day and age ? ,The right or most opportune moment to do something.,Deal with things as and when they happen.,"Not changed for a very long time, when everything else around has.",These or modern times.,These or modern times.,static,MEDIUM
What is the meaning of the idiom : Tickled pink ? ,These or modern times.,"Very pleased, thrilled or delighted about something.",Deal with things as and when they happen.,"Not changed for a very long time, when everything else around has.","Very pleased, thrilled or delighted about something.",static,MEDIUM
What is the meaning of the idiom : Time after time (time and time again) ? ,"Very pleased, thrilled or delighted about something.",These or modern times.,Do something repeatedly,Deal with things as and when they happen.,Do something repeatedly,static,MEDIUM
What is the meaning of the idiom : Time is of the essence ? ,Do something repeatedly,"Very pleased, thrilled or delighted about something.",These or modern times.,When meeting a deadline is very important or critical.,When meeting a deadline is very important or critical.,static,MEDIUM
What is the meaning of the idiom : Tongue-tied ? ,Difficulty in expressing yourself because of nervousness or embarrassment.,Do something repeatedly,"Very pleased, thrilled or delighted about something.",These or modern times.,Difficulty in expressing yourself because of nervousness or embarrassment.,static,MEDIUM
What is the meaning of the idiom : Tricks of the trade ? ,Difficulty in expressing yourself because of nervousness or embarrassment.,Clever or expert way of doing something.,Do something repeatedly,"Very pleased, thrilled or delighted about something.",Clever or expert way of doing something.,static,MEDIUM
What is the meaning of the idiom : Turn back the hands of time ? ,Clever or expert way of doing something.,Difficulty in expressing yourself because of nervousness or embarrassment.,When meeting a deadline is very important or critical.,Reverse something or go back to a time in the past.,Reverse something or go back to a time in the past.,static,MEDIUM
What is the meaning of the idiom : Until hell freezes over ? ,Reverse something or go back to a time in the past.,Clever or expert way of doing something.,"Something will never happen, no matter how hard or long you try for it to.",When meeting a deadline is very important or critical.,"Something will never happen, no matter how hard or long you try for it to.",static,MEDIUM
What is the meaning of the idiom : Up in smoke ? ,"Something will never happen, no matter how hard or long you try for it to.",Reverse something or go back to a time in the past.,Something that ends before getting a result.,Difficulty in expressing yourself because of nervousness or embarrassment.,Something that ends before getting a result.,static,MEDIUM
What is the meaning of the idiom : Waiting in the wings ? ,Something that ends before getting a result.,"Something will never happen, no matter how hard or long you try for it to.",Reverse something or go back to a time in the past.,Waiting for an opportunity to take action.,Waiting for an opportunity to take action.,static,MEDIUM
What is the meaning of the idiom : Walk out on someone ? ,Waiting for an opportunity to take action.,Leave a partner and end the relationship.,"Something will never happen, no matter how hard or long you try for it to.",Reverse something or go back to a time in the past.,Leave a partner and end the relationship.,static,MEDIUM
What is the meaning of the idiom : White as a sheet (or ghost) ? ,Leave a partner and end the relationship.,Waiting for an opportunity to take action.,In a state of great fear or anxiety.,"Something will never happen, no matter how hard or long you try for it to.",In a state of great fear or anxiety.,static,MEDIUM
What is the meaning of the idiom : White collar ? ,In a state of great fear or anxiety.,Officer worker.,Waiting for an opportunity to take action.,Something that ends before getting a result.,Officer worker.,static,MEDIUM
What is the meaning of the idiom : White elephant ? ,Officer worker.,In a state of great fear or anxiety.,Leave a partner and end the relationship.,Expensive item that's costly to maintain and not particularly useful.,Expensive item that's costly to maintain and not particularly useful.,static,MEDIUM
What is the meaning of the idiom : Whitewash ? ,Expensive item that's costly to maintain and not particularly useful.,Cover up or gloss over faults.,In a state of great fear or anxiety.,Leave a partner and end the relationship.,Cover up or gloss over faults.,static,MEDIUM
What is the meaning of the idiom : Whole nine yards ? ,Everything. All of it.,Expensive item that's costly to maintain and not particularly useful.,Officer worker.,In a state of great fear or anxiety.,Everything. All of it.,static,MEDIUM
What is the meaning of the idiom : Wooden spoon ? ,Everything. All of it.,Cover up or gloss over faults.,Expensive item that's costly to maintain and not particularly useful.,Imaginary prize for the last person in a race.,Imaginary prize for the last person in a race.,static,MEDIUM
"What is the meaning of the idiom : Year in, year out ? ",Happens every year for many years in a row.,Everything. All of it.,Cover up or gloss over faults.,Expensive item that's costly to maintain and not particularly useful.,Happens every year for many years in a row.,static,MEDIUM
What is the meaning of the idiom : Yellow-bellied ? ,Happens every year for many years in a row.,Imaginary prize for the last person in a race.,Everything. All of it.,Coward,Coward,static,MEDIUM
What is the meaning of the idiom : You can't teach an old dog new tricks ? ,People used to doing things a certain way are often unable to change their ways.,Happens every year for many years in a row.,Imaginary prize for the last person in a race.,Everything. All of it.,People used to doing things a certain way are often unable to change their ways.,static,MEDIUM
What is the meaning of the idiom : Too many chiefs and not enough Indians ? ,People used to doing things a certain way are often unable to change their ways.,Too many people telling others what to do.,Happens every year for many years in a row.,Imaginary prize for the last person in a race.,Too many people telling others what to do.,static,MEDIUM
